#This is for Eis cosmography
#Fisher Matrices:  SD_i, {E1,E2,E3}
SD_1	{{1995.2999839005868, 528.6998483042337, 105.57446792812277}, {528.6998483042337, 156.0433476809186, 36.77405494905412}, {105.5744679281228, 36.77405494905412, 15.259070716336176}}
SD_2	{{1740.714296177021, 452.9043325006328, 102.55725006178528}, {452.9043325006329, 129.7366641934385, 31.173595566049897}, {102.55725006178527, 31.173595566049887, 16.774086816547285}}
SD_3	{{1798.2911112284942, 471.48378622462735, 98.59945596571427}, {471.4837862246273, 136.5990728923103, 32.19905620421042}, {98.59945596571426, 32.199056204210436, 14.51361822500147}}
SD_4	{{1943.528809499892, 511.5944830031827, 102.37994082163704}, {511.59448300318275, 148.64499837121284, 34.27340676130662}, {102.37994082163708, 34.273406761306624, 15.127697733050352}}
SD_5	{{1933.2846327285988, 509.28743878278556, 98.58600156710796}, {509.28743878278584, 148.61527065176824, 33.69897730292659}, {98.58600156710797, 33.69897730292658, 13.898604786999844}}
SD_6	{{2198.855805163777, 590.3380863635632, 112.3872541393842}, {590.3380863635634, 181.11856764231365, 42.059130810490274}, {112.38725413938442, 42.05913081049029, 14.21088496312057}}
SD_7	{{1657.518393588661, 422.9005645166496, 91.83174378103823}, {422.9005645166495, 119.2558697113651, 24.423549193853873}, {91.83174378103818, 24.42354919385387, 15.038152260469108}}
SD_8	{{1613.404994200286, 410.8575692931051, 93.9527621329176}, {410.85756929310514, 116.70292499225415, 27.152611464510514}, {93.95276213291761, 27.152611464510514, 17.411043376684717}}
SD_9	{{1729.5076559858405, 448.94081578994576, 98.38090802320895}, {448.9408157899456, 128.9665878926955, 31.04515379659773}, {98.3809080232089, 31.045153796597727, 17.032660089180784}}
SD_10	{{1945.7443184170959, 514.1202331548386, 99.7394832207523}, {514.1202331548386, 154.14957608751143, 36.79512728809165}, {99.73948322075233, 36.795127288091656, 14.787005634783217}}
SD_11	{{2101.9116123889853, 559.6443315976215, 106.78818054834446}, {559.6443315976217, 168.62378052467338, 39.2850119994673}, {106.78818054834449, 39.285011999467294, 14.754462099784504}}
SD_12	{{1549.2921436443123, 391.2284624898311, 90.6991489413858}, {391.22846248983114, 110.03316729743042, 25.160543800393633}, {90.69914894138583, 25.160543800393633, 15.667231202022897}}
SD_13	{{1684.729994346704, 434.8630520754742, 90.71443366419444}, {434.8630520754742, 123.80191995725112, 28.49749850337482}, {90.71443366419443, 28.497498503374825, 14.301700740407005}}
SD_14	{{1744.1876694407079, 454.7195395377038, 91.9768803834356}, {454.7195395377038, 130.73525653101416, 29.38540773071687}, {91.97688038343556, 29.385407730716867, 13.44944512841893}}
